T (K),x1,y1,Acetone (1),Chloroform (2)
335.75,0.098,0.06,7.31742,7.11289
336.65,0.186,0.143,1315.6735,1233.0732
337.25,0.266,0.23,240.479,230.213
337.55,0.36,0.36,,
336.95,0.468,0.514,,
335.85,0.578,0.646,,
334.65,0.673,0.751,,
333.45,0.755,0.83,,
332.15,0.827,0.89,,
331.05,0.892,0.939,,
330.15,0.949,0.975,,
