T (K),x1,y1,Cyclohexane (1),Benzene (2)
356.7,0.1008,0.1352,6.88938,6.81432
356.28,0.1989,0.2343,1200.8256,1090.4312
355.89,0.301,0.33,218.815,197.146
355.4,0.4012,0.41,,
355.1,0.4993,0.4915,,
354.57,0.5998,0.5744,,
354.27,0.6989,0.6591,,
353.56,0.8001,0.7547,,
353.26,0.8976,0.861,,
